title;url;description;related_games;genres;platforms;ign_score;ign_score_phrase;community_score;community_score_phrase;publisher;developers;rating_category;rating_content;release_date;price;review_link
Descent 3: Mercenary;http://www.ign.com/games/descent-3-mercenary/pc-13879;An expansion pack to the popular first-person vehicular shooter, Descent 3 Mercenary builds upon the existing backdrop of the award-winning Descent 3 universe. Centered around the dark conspiracy revealed in Descent 3, Mercenary has you flying as the leader of the Black Pyros hired by Dravis to carry out his evil plans. The new seven-level, single-player minicampaign features highly scripted, detailed environments. Additionally, Mercenary sports five new multiplayer levels created by developer Outrage and a variety of the best single- and multiplayer fan-made levels. An included level editor lets anyone create their own stages and share them over the web. Requires full version of Descent 3.;http://www.ign.com/games/ghost-recon-wildlands/pc-20038799,http://www.ign.com/games/tom-clancys-the-division/pc-20004178,http://www.ign.com/games/borderlands-2-the-horrible-hunger-of-the-ravenous-wattle-gobbler/pc-20007853,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;First-Person, Shooter;PC;8.8;Great;8.2;Great;Interplay;Outrage;T for Teen;Animated Violence;Dec 10, 2000;19.99 USD;http://pc.ign.com/articles/163/163879p1.html
Chocobo's Dungeon 2;http://www.ign.com/games/chocobos-dungeon-2/ps-11529;CHOCOBO'S DUNGEON 2 places you in charge of Chocobo as he searches for treasure. Unfortunately, all of the treasure is located in dungeons (all of them are randomly generated so no two games are the same) scattered throughout the world. As with all dungeons, there are monsters guarding the treasure. Thankfully, Chocobo has a few friends including Mog, Cid the Tinker, and others who are willing to help out. If you have a real world friend, he or she can take control of Chocobo's partner. For even more help, Chocobo and his friends can take the items they find and create new ones. With over 40 hours of gameplay, CHOCOBO'S DUNGEON 2 has plenty to keep explorers busy.;http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-tactics/ps-26,http://www.ign.com/games/alundra/ps-2018,http://www.ign.com/games/star-ocean-the-second-story/ps-4057,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Action;PS;6.5;Okay;7.3;Good;Square, Square Electronic Arts (US);Square;E for Everyone;Mild Animated Violence;December 16, 1999;37.99 USD;http://psx.ign.com/articles/161/161529p1.html
Brunswick Circuit Pro Bowling;http://www.ign.com/games/brunswick-circuit-pro-bowling/n64-12184;BRUNSWICK CIRCUIT PRO BOWLING brings all of the action and excitement of professional bowling to N64.  The physics of bowling are perfectly modeled: pins bounce off the ball, walls, and each other with the kind of action that is only seen on the lanes. Keep an eye on the conditions of the lanes, as the quality tends to degrade as the round goes on. Choose one of the 13 professional bowlers, each with his own unique brand of trash talk, or create a bowler that is more suited to your style of play. Once you're ready, hit the lanes in any of these modes: exhibition, skins, tournament, career, and cosmic bowling. When the computer-controlled competition gets too easy, challenge five of your friends to a friendly game. BRUNSWICK CIRCUIT PRO BOWLING has all the action of the lanes without the need to rent shoes.;http://www.ign.com/games/tony-hawks-pro-skater-2/n64-14169,http://www.ign.com/games/mario-golf/n64-10628,http://www.ign.com/games/international-superstar-soccer-2000/n64-15240,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933;Sports;N64 PS PC;7.3;Good;6.8;Okay;THQ;Point of View;E for Everyone;;December 22, 1999;58.99 USD;http://ign64.ign.com/articles/162/162184p1.html
Scrabble [1999];http://www.ign.com/games/scrabble-1999-809445/pc-13416;"A computerized version of one of the most popular board games ever, Scrabble features the traditional game as well as a variety of other modes (Mini Scrabble games, Anagrams, Rackagrams and Speed Scrabble). Maven, the computer opponent, is touted as ""the most formidable artificial intelligence ever developed for Scrabble."" Scrabble also includes an in-game version of Merriam Webster's Official Scrabble Player's Dictionary as well as customizable dictionary.";http://www.ign.com/games/hero-academy-136971/pc-122908,http://www.ign.com/games/monopoly-2008/pc-14248884,http://www.ign.com/games/the-game-of-life-spongebob-squarepants-edition/pc-14270577,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Board;PC PS G.com Mac;7.8;Good;7.6;Good;Hasbro Interactive;Random Games;E for Everyone;;Dec 1, 1999;;http://pc.ign.com/articles/163/163416p1.html
Boarder Zone;http://www.ign.com/games/boarder-zone/gbc-13158;"BOARDER ZONE is a wild snowboarding action game for the Game Boy Color, and it packs in a ton of variety for boarding aficionados. Choose from four different boarders, each with their own unique skills and abilities, and then choose from four boards which all have different characteristics. Further adding to the customizability is the ability to pick your boarder's outfit. The variety doesn't stop there, however six different gameplay modes are available. In Race Attack mode, you must beat your fellow boarders in a race to the finish; Trick mode has you scoring points by performing tricks before the time runs out; Time Attack has you racing the clock; Challenge mode has you trying to either beat the clock or perform tricks on different courses; Slalom mode will have you beating a time limit on one of a number of unique courses; and Practice mode helps you brush up your skills for the real game. You can also use a password to save your progress through the various gameplay modes.";http://www.ign.com/games/720/gbc-10768,http://www.ign.com/games/mario-tennis-gbc/gbc-14380,http://www.ign.com/games/ready-2-rumble-boxing/gbc-12329,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402;Extreme, Sports;GBC PC DC;7.0;Good;7.4;Good;Infogrames;Software Creations;T for Teen;Mild Language;December 1999;34.99 USD;http://gameboy.ign.com/articles/163/163158p1.html
Dogz;http://www.ign.com/games/dogz/gbc-12929;Are you looking to adopt a pet but lack the time or space to take care of a real one? Then you may find DOGZ to be of interest. Part of the small but popular virtual pet genre, DOGZ lets you adopt a dog from one of three breeds: Chihuahua, Scottie, or mutt. You can play with the pet first to decide if it's right for you. Once you've adopted the little gal or fella, it's up to you to take care of it: feed it, groom it, and play with it regularly if you want it to grow up to be a well-adjusted adult. If you mistreat your dog, though, your little pet will take off! Eventually, new breeds of dogs and new special toys will become available for you, depending on how well you do. You can even trade toys and breeds of dogs with your friends via the infrared link.;http://www.ign.com/games/harvest-moon-gbc-3/gbc-17428,http://www.ign.com/games/catz/gbc-12930,http://www.ign.com/games/legend-of-the-river-king-gbc/gbc-12933,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402;Simulation;GBC GBA;5.0;Mediocre;4.7;Bad;Mindscape;Saffire;E for Everyone;No Descriptors;December 1999;33.99 USD;http://gameboy.ign.com/articles/162/162929p1.html
Vigilante 8;http://www.ign.com/games/vigilante-8/gbc-12839;The world has been weakened by an oil crisis, and growing civil unrest makes it impossible for law enforcement to protect rural areas. In order to regain order, countries must buy oil from the only organization that has any, OMAR. However, the United States is unwilling to pay the exorbitant prices. Fearing that other countries might follow the U.S.'s lead, OMAR hires a terrorist to frighten the U.S. into buying oil. They do this by terrorizing the loosely protected rural areas. Everywhere their vehicles go, death and destruction follow. Hoping to put and end to the terrorist threat, Cowboy a former truck driver forms the Vigilantes. Given the best weapons technology available, the Vigilantes are out to stop the terrorists and restore peace to the U.S. in VIGILANTE 8. Do you have what it takes to be a Vigilante?;http://www.ign.com/games/the-legend-of-zelda-oracle-of-seasons/gbc-16042,http://www.ign.com/games/the-legend-of-zelda-oracle-of-ages/gbc-16041,http://www.ign.com/games/batman-chaos-in-gotham/gbc-14474,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402;Action;GBC PS N64;6.0;Okay;5.7;Mediocre;Vatical Entertainment;Vicarious Visions;E for Everyone;Animated Violence;January 2000;25.99 USD;http://gameboy.ign.com/articles/162/162839p1.html
Flanker 2.0;http://www.ign.com/games/flanker-20/pc-13461;Using previously classified Russian satellite imagery, this state-of-the-art combat sim provides photo-realistic terrain. The improved flight dynamics, new 3D sound system, and accurate damage modeling offers players a true combat experience. Novice users will be delighted by the intuitive menu system. From the interactive training sessions to the ultra-realistic flight model, this Russian combat flight sim has something for every armchair pilot!;http://www.ign.com/games/civilization-beyond-earth/pc-20016115,http://www.ign.com/games/simcity/pc-128952,http://www.ign.com/games/civilization-beyond-earth-rising-tide/pc-20040683,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Simulation;PC;7.0;Good;7.0;Good;Strategic Simulations, Inc. (SSI);Flying Legends;E for Everyone;Animated Violence;Dec 15, 1999;39.99 USD;http://pc.ign.com/articles/163/163461p1.html
Disney's Story Studio: Mulan;http://www.ign.com/games/disneys-story-studio-mulan/ps-13750;Disney's hit film MULAN has come to the PlayStation in DISNEY'S STORY STUDIO: Mulan. It seems that the ancient scrolls that contained the Mulan legend have disappeared, and it's up to Mulan and Mushu to retrieve them. This is accomplished in a series of mini-games that have a wide variety of objectives. Each game is represented by a place on the map. In the Village, Mulan can take a bath and gather items for Grandma Fa, while she must solve a mix-and-match puzzle in her house in order to retrieve armor. When they visit the Temple, Mulan and Mushu must awaken the ancestors by hitting a series of gongs in the correct order. At the Imperial City, Mulan can defeat the Huns by clobbering them with watermelons. Try to collect the scrolls and save the legend in DISNEY'S STORY STUDIO: Mulan.;http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Action;PS;7.7;Good;5.6;Mediocre;Disney Interactive Studios;Disney Interactive Studios;E for Everyone;No Descriptors;December 1999;47.99 USD;http://psx.ign.com/articles/163/163750p1.html
EGG: Elemental Gimmick Gear;http://www.ign.com/games/egg-elemental-gimmick-gear-167953/dc-9988;While digging through the ancient ruins, archeologists found a sleeping man inside an egg-shaped machine. Though the scientists couldn't wake up the Sleeper, they were able to reproduce his machine, which people started calling Elemental Gimmick Gear (EGG). Just what we would have called it, of course. A wide variety of EGGs have been manufactured for both military and civilian use.One hundred years after the discovery of the Sleeper, something goes terribly wrong, destroying the city and its people. The Sleeper awakes and leaves the laboratory. It's up to him to save the city of Fogna and figure out what went wrong.;http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/record-of-lodoss-war-14233547/dc-15717,http://www.ign.com/games/eternal-arcadia-barai-version/dc-15110,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967;RPG;DC;8.0;Great;7.4;Good;Vatical Entertainment;Hudson Soft, Birthday;E for Everyone;Animated Violence;December 29, 1999;35.99 USD;http://dreamcast.ign.com/articles/159/159988p1.html
Fighting Force 2;http://www.ign.com/games/fighting-force-2/dc-12891;As agent Hawk Manson of the State Intelligence Police, your mission is to infiltrate the Knackmiche Corporation and foil their plans for creating the world's first human clone. This mission-based action game sends you in as a one-man wrecking crew to put Knackmiche out of commission. Use your fists, feet, and anything else you can get your hands on to take out your opponents and get the job done. Use your arsenal of over 20 weapons from axes to sledgehammers to handguns to eliminate your enemies. You might want to smash their equipment, too, because you never know what could be waiting for you under that copy machine or desk! Some missions require firepower and some require stealth, but they all require quick reflexes and fast decisions, or you just might find yourself working as a traffic cop before too long!;http://www.ign.com/games/dino-crisis/dc-15477,http://www.ign.com/games/the-ring-terrors-realm/dc-14989,http://www.ign.com/games/d2/dc-13964,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967;Adventure;DC PS PSP PS3;3.6;Awful;4.4;Bad;Eidos Interactive;CORE Design Limited;T for Teen;Blood, Animated Violence;December 22, 1999;34.99 USD;http://dreamcast.ign.com/articles/162/162891p1.html
MTV Music Generator;http://www.ign.com/games/mtv-music-generator/ps-13748;There are music-mixing computer programs that cost thousands of dollars, but none of them are this fun. You chose your rhythm tracks, bass lines, guitar riffs, and triangle hits in this complete music-making experience. You can make rock, pop, hip-hop, techno, or jazz songs, and each will be vastly different from the others. There are more than 1,500 riffs and 3,000 instrument sounds to choose from, and you can even write your own parts instead of using the pre-programmed melodies. Just about everything you can think of can be manipulated here, right down to the volume of the floor toms, the amount of reverb applied to each instrument, and the song's tempo. The next step is to create a music video for your masterpiece, and you'll have plenty of 3D clips at your disposal in so doing. Once you have your complete package, you can save everything to a memory card and access any part of it (from an instrument sound or keyboard riff to the entire song) later. All in all, it's about the most creative use of a video game console imaginable.;http://www.ign.com/games/guitar-freaks/ps-12563,http://www.ign.com/games/bust-a-groove-2/ps-11939,http://www.ign.com/games/music-2000-music-creation-for-the-playstation/ps-571768,http://www.ign.com/games/rpg-maker/ps-3771,http://www.ign.com/games/music-2000-music-creation-for-the-playstation/ps-571768,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Music;PS PC;9.0;Amazing;8.9;Great;Codemasters;Jester Interactive;E for Everyone;Suitable for Persons Ages Six and Older;December 1999;26.24 USD;http://psx.ign.com/articles/163/163748p1.html
Silhouette Mirage;http://www.ign.com/games/silhouette-mirage/ps-3921;Silhouette Mirage is an action classic 2-D game where you take control of a small character who must battle enemies made up of silhouettes and mirages. Shoot your way through several levels loaded with enemies, large fully animated bosses and beautiful multi-scrolling backgrounds.;http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Action;PS Saturn;8.9;Great;8.2;Great;Working Designs, ESP;Treasure;E for Everyone;Mild Animated Violence, Mild Language;December 1999;7.99 USD;http://psx.ign.com/articles/153/153921p1.html
Lightbringer: The Next Giant Leap for Mankind;http://www.ign.com/games/lightbringer-the-next-giant-leap-for-mankind/pc-13741;Adapt Mars so it can be colonized by humans? It might not sound like the smartest idea, but that's your task and you're determined to accomplish it. It's 2012, and you're part of the first manned mission to Mars. After a mysterious crash landing on the red planet, you find yourself with no communication means and a severely damaged ship and crew. Using Russian and American space technology, the game delivers realistic equipment models and high-tech weapons aplenty to help you battle the mysterious forces at work.;http://www.ign.com/games/recore/pc-20047415,http://www.ign.com/games/life-is-strange-episode-4/pc-20031273,http://www.ign.com/games/the-walking-dead-the-game/pc-100880,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Adventure;PC;5.2;Mediocre;6.3;Okay;DreamCatcher Interactive;Aneiva;E for Everyone;Suitable for Persons Ages Six and Older;Oct 29, 1999;14.99 USD;http://pc.ign.com/articles/163/163741p1.html
Wetrix+;http://www.ign.com/games/wetrix-958154/dc-13554;"Wetrix+ is a hypnotic, addictive, blindingly colorful water-based puzzle game that plays on an ever changing 3-D landscape. ""Uppers,"" pieces which raise the land on the platform, fall from the sky. Players use these to build pools and dams to encase the water bubbles which sometimes fall. The object of the game is to keep the water on the board without overflowing off the edges or down into holes created by the other less desirable pieces.Weltrix+ is a surprising if somewhat shallow puzzle game with enough interesting elements to make it worth looking into. Although it does somewhat borrows concepts from Tetris, the game itself has a unique concept yet to be replicated. If you're looking for a good puzzle game for your Dreamcast, Weltrix+ is one of them.";http://www.ign.com/games/super-puzzle-fighter-ii-x-for-matching-service/dc-492483,http://www.ign.com/games/chu-chu-rocket/dc-14096,http://www.ign.com/games/bust-a-move-4/dc-14152,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967;Puzzle;DC;8.7;Great;7.9;Good;Xicat Interactive;Zed Two;E for Everyone;;January 5, 2000;47.99 USD;http://dreamcast.ign.com/articles/163/163554p1.html
A Bug's Life;http://www.ign.com/games/a-bugs-life/gbc-10782;"Straight from the hit Disney computer-animated movie, A BUG'S LIFE comes to the Game Boy Color. Play as the young ant Flik as he races through nine levels of varied action in his quest to save his ant colony from the cruel Hopper and his gang of grasshoppers. Hopper is bent on stealing all of the ants' food and destroying the colony. Fortunately, Flik is creative and has a few plans to help his friends. On the flip side, he's also very accident-prone, so not all of his plans work out. Play through the levels collecting parts to assemble his inventions while avoiding enemies and natural obstacles. Grasshoppers aren't the only bugs out to stop Flik, as he will also encounter bees, worms, wasps, and others. His only defenses against these nasty bugs are his throwing arm and a limited supply of berries. Never fear though, because scattered throughout the levels are more berries of the throwing variety and the health-giving variety. Just when things look their darkest, Flik can count on his insect friends to make the save!!! You've tried real-life; now try living A BUG'S LIFE.";http://www.ign.com/games/the-legend-of-zelda-oracle-of-seasons/gbc-16042,http://www.ign.com/games/the-legend-of-zelda-oracle-of-ages/gbc-16041,http://www.ign.com/games/batman-chaos-in-gotham/gbc-14474,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402;Action;GBC PS PC PS3 PSP N64 PC;3.0;Awful;3.7;Awful;THQ;Tiertex Design Studios;E for Everyone;;May 1999;27.99 USD;http://gameboy.ign.com/articles/160/160782p1.html
All-Star Baseball 2000;http://www.ign.com/games/all-star-baseball-2000/gbc-12071;Get ready to play ball with the pros in this baseball game for PSX. Using real licensed teams and players from the 1999 season, ALL-STAR BASEBALL 2000 challenges you to take your favorite MLB team to a World Series victory. ALL-STAR BASEBALL 2000 offers a wide variety of gameplay options. If you think you have what it takes to play through a full season of MLB action, try the Season mode. If you like to cut to the chase, go straight to the Playoffs. Practice up your swing in the Batting Practice mode, and then prove your skills in the Home Run Derby! When you're ready, take to the field with the greats of the sport in an All-Star Game. Choose between manual and automatic fielding. Need to hold off on your pennant race until another day? No problem! Save your team's progress using the handy password function.;http://www.ign.com/games/720/gbc-10768,http://www.ign.com/games/mario-tennis-gbc/gbc-14380,http://www.ign.com/games/ready-2-rumble-boxing/gbc-12329,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402;Sports;GBC N64;6.0;Okay;6.4;Okay;Acclaim Entertainment;Realtime Associates;E for Everyone;;May 1999;35.99 USD;http://gameboy.ign.com/articles/162/162071p1.html
NHL 2K [2000];http://www.ign.com/games/nhl-2k/dc-13401;Hit the ice in the coolest hockey simulation in console gaming history! NHL 2K continues the winning tradition of previous Sega Sports hits for the Sega Dreamcast arena, NFL 2K and NBA 2K. Fully licensed by the NHL and NHLPA, NHL 2K is the most realistic hockey game on the market today. You can almost feel the brutal contact from a dive on the ice or an all-out brawl. Can you pull off a hat trick? How about a quicksilver flip pass over an unsuspecting opponent? If you've got blades of steel and nerves to match, lace up your skates and win the Cup for your superstar team. Just don't get stuck in the penalty box.;http://www.ign.com/games/shenmue/dc-14499,http://www.ign.com/games/shenmue-ii/dc-15624,http://www.ign.com/games/spider-man-2000/dc-15779,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967;Action;DC;8.6;Great;7.9;Good;SEGA;Black Box;E for Everyone;Animated Violence;February 9, 2000;23.99 USD;http://dreamcast.ign.com/articles/163/163401p1.html
Sakura Wars: Hanagumi Taisen Columns 2;http://www.ign.com/games/sakura-wars-hanagumi-taisen-columns-2/dc-13228;"The first Sakura Wars adventure/simulation game was released in late 1996 on the Saturn.  Sega and The Red Company then followed that game with a true adventure/simulation sequel in 1997, along with four fan disks, which feature mini games, artwork, and interviews with the series' developers and voice actors.  Hanagumi Columns was one of those fan disks, and its name comes from the fact that it's basically a version of Sega's classic Columns, placed in the Sakura Wars universe (Hanagumi means ""Flower Branch,"" which is the name of the group that you control in the Sakura Wars game).";http://www.ign.com/games/super-puzzle-fighter-ii-x-for-matching-service/dc-492483,http://www.ign.com/games/chu-chu-rocket/dc-14096,http://www.ign.com/games/bust-a-move-4/dc-14152,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967;Puzzle;DC;9.0;Amazing;9.1;Amazing;SEGA;Red Company;;;;;http://dreamcast.ign.com/articles/163/163228p1.html
Zebco Fishing;http://www.ign.com/games/zebco-fishing/gbc-12919;"You are out on the lake, and everything is quiet. Suddenly, a fish hits your lure. The fish pulls the line while you fight it, trying to reel it in. It dives deep and flies out of the water; you give the line some slack, and then reel it in. Eventually, the fish loses this fight. You can have this kind of excitement with ZEBCO FISHING! for the Game Boy Color. Hit one of two lakes with a choice of 11 different fishing lures. Try to catch the biggest bass possible in the Tournament mode, and for an extra challenge, try to catch exactly 21 pounds of bass in the Blackjack Bass mode. In both modes, catching fish other than bass has no effect on the outcome. Try to become a fishing champion with ZEBCO FISHING!";http://www.ign.com/games/tnn-outdoor-fishing-championship/gbc-12927,http://www.ign.com/games/bass-lure-fishing/gbc-10772,http://www.ign.com/games/super-real-fishing/gbc-13109,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402;Hunting;GBC;7.0;Good;7.0;Good;Vatical Entertainment;Vicarious Visions;E for Everyone;;September 1999;29.99 USD;http://gameboy.ign.com/articles/162/162919p1.html
NASCAR Rumble;http://www.ign.com/games/nascar-rumble/ps-12167;The best way to describe NASCAR RUMBLE is as an over-the top-racer. This game features power-ups, shortcuts, and the NASCAR license. The environments span town and country locales, and power-ups range from the standard turbo to the unique Freeze, which freezes an opponent temporarily, allowing you to blow past them. But remember, these power-ups can also be used against you, so keep your eyes peeled. If you're a fan of old-school NASCAR, you can unlock legends from NASCAR's storied past by winning various races and tournaments. NASCAR RUMBLE is a multiplayer extravaganza. Not only are two-player competitive championships available, but there are also two-player cooperative tournaments. If you're looking for an alternative to the oval racing of traditional NASCAR games, then NASCAR RUMBLE is worth checking out.;http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Racing;PS;8.0;Great;8.2;Great;Electronic Arts;Electronic Arts;E for Everyone;No Descriptors;February 16, 2000;17.99 USD;http://psx.ign.com/articles/162/162167p1.html
The Sims;http://www.ign.com/games/the-sims-1/pc-11754;Welcome to The Sims, a mirror world created from the fantasies of thousands -- a random alternate reality where you view and play, both.  Enter here and, you own a plot of land to create your own kingdom. Build a house, pizza joint, discotheque, library or anything you dream of. Take a walk through the locality around you and meet Sims just like you. Enhance your power, wealth, reputation and social standing by bonding with Sims everywhere. Here your destiny is in your hands, make it or break it.;http://www.ign.com/games/civilization-beyond-earth/pc-20016115,http://www.ign.com/games/simcity/pc-128952,http://www.ign.com/games/civilization-beyond-earth-rising-tide/pc-20040683,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Simulation;PC Xbox PS2 GCN Mac;9.5;Amazing;8.6;Great;Electronic Arts;Maxis;T for Teen;Comic Mischief, Mature Sexual Themes, Mild Animated Violence;Feb 4, 2000;39.99 USD;http://pc.ign.com/articles/161/161754p1.html
Conker's Pocket Tales;http://www.ign.com/games/conkers-pocket-tales/gbc-10774;Conker's Nintendo 64 adventure may not be suitable for kids, but his POCKET TALES are definitely okay for all ages. Conker's birthday party has been somewhat spoiled, as his girlfriend Berri and all of his presents have been stolen by the Evil Acorn. You play as Conker, trying to get Berri and your gifts back in this single-player action or RPG reminiscent of the LEGEND OF ZELDA. Work your way through six areas, searching out your presents so you can move on to the next level. You'll have to defeat the Evil Acorn's forces using your trusty slingshot while solving puzzles in order to make your way through the game. Try your hand at an assortment of mini-games along the way. CONKER'S POCKET TALES packs over 20 hours of gameplay for action or RPG nuts, and the battery backup enables you to save up to two quests. CONKER'S POCKET TALES is compatible with both Game Boy and Game Boy Color.;http://www.ign.com/games/star-wars-yoda-stories/gbc-12088,http://www.ign.com/games/hamtaro-ham-hams-unite/gbc-493740,http://www.ign.com/games/dino-crisis/gbc-13974,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402;Adventure;GBC;6.0;Okay;6.4;Okay;Nintendo;Rare;E for Everyone;;June 08, 1999;29.95 USD;http://gameboy.ign.com/articles/160/160774p1.html
Deer Hunter: Interactive Hunting Experience;http://www.ign.com/games/deer-hunter/gbc-12890;"The popular pursuit of hunting comes to the portable screen in DEER HUNTER for the Game Boy Color. You play as a hunter looking to catch a nice trophy in one of four different areas using three different weapons. Hunt deer with a shotgun, a rifle, or a bow, using slightly different tactics with each. If you want to be successful, you'll have to use real-world hunting strategies. Search for droppings or other signs of movement to find the best area to wait in. Once there, use one of an assortment of tools to help you catch your prey: mask your odor with a cover scent, use a tree stand to camouflage yourself, or lure the deer with a powerful musk, a deer call, or an antler rattle. It's up to you to decide how to catch the deer; some methods are more efficient than others, so you'll have to find the one that works best for you. Detailed graphics and digitized sound round out the experience for would-be hunters. DEER HUNTER is for Game Boy Color systems only.";http://www.ign.com/games/harvest-moon-gbc-3/gbc-17428,http://www.ign.com/games/catz/gbc-12930,http://www.ign.com/games/legend-of-the-river-king-gbc/gbc-12933,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402;Simulation;GBC PC Mac G.com;2.0;Painful;1.0;Unbearable;Vatical Entertainment;Morning Star Multimedia;T for Teen;Mild Animated Violence;December 1999;33.99 USD;http://gameboy.ign.com/articles/162/162890p1.html
